Company,Date,ClosingPrice,Change,ChangeRate,OpeningPrice,HighPrice,LowPrice,Volume,Value,MarketCap,ShareOuts
1618,2025/07/21,92200,-100,-0.11,91400,93000,91100,42828,3935814450,2103298116800,22812344
1618,2025/07/18,92300,-2100,-2.22,94300,94800,91800,56103,5191408350,2105579351200,22812344
1618,2025/07/17,94400,1800,1.94,93200,94400,92100,55692,5221957850,2153485273600,22812344
1618,2025/07/16,92600,-1500,-1.59,94100,94100,92500,50209,4668702600,2112423054400,22812344
1618,2025/07/15,94100,-700,-0.74,94600,95500,93200,56707,5348841750,2146641570400,22812344
1618,2025/07/14,94800,800,0.85,94000,95000,92300,49181,4625869700,2162610211200,22812344
1618,2025/07/11,94000,1200,1.29,92900,95300,92600,101464,9545051050,2144360336000,22812344
1618,2025/07/10,92800,-800,-0.85,92900,93700,92400,85246,7931282500,2116985523200,22812344
1618,2025/07/09,93600,3900,4.35,89900,93700,89500,117478,10898083800,2135235398400,22812344
1618,2025/07/08,89700,-1200,-1.32,91500,91500,88800,86978,7782067500,2046267256800,22812344
1618,2025/07/07,90900,200,0.22,90800,92500,90000,45536,4156305600,2073642069600,22812344
1618,2025/07/04,90700,-700,-0.77,91900,91900,89800,56909,5183864250,2069079600800,22812344
1618,2025/07/03,91400,1000,1.11,91200,91800,89700,88099,8017803200,2085048241600,22812344
1618,2025/07/02,90400,1800,2.03,89100,90700,88100,55210,4956328850,2062235897600,22812344
1618,2025/07/01,88600,1200,1.37,87400,90100,87400,86275,7691211500,2021173678400,22812344
1618,2025/06/30,87400,-100,-0.11,88400,88700,87200,40476,3546554300,1993798865600,22812344
1618,2025/06/27,87500,200,0.23,87400,88400,86300,54219,4736992350,1996080100000,22812344
1618,2025/06/26,87300,-1900,-2.13,89200,89200,86300,69915,6107398400,1991517631200,22812344
1618,2025/06/25,89200,300,0.34,89800,90000,88500,49547,4419843050,2034861084800,22812344
1618,2025/06/24,88900,1000,1.14,91200,91200,88300,97012,8654316350,2028017381600,22812344
1618,2025/06/23,87900,-2800,-3.09,89800,89900,86900,73989,6493306000,2005205037600,22812344
1618,2025/06/20,90700,5200,6.08,85900,92300,85300,221613,19971984700,2069079600800,22812344
1618,2025/06/19,85500,600,0.71,85100,86050,84700,58706,5015198550,1950455412000,22812344
1618,2025/06/18,84900,1400,1.68,82800,85100,82800,52308,4414056050,1936768005600,22812344
1618,2025/06/17,83500,-800,-0.95,84800,85000,82900,62615,5250103100,1904830724000,22812344
1618,2025/06/16,84300,-800,-0.94,84500,85800,83500,60652,5093906700,1923080599200,22812344
1618,2025/06/13,85100,-800,-0.93,86300,87800,84800,90796,7782987350,1941330474400,22812344
1618,2025/06/12,85900,-1600,-1.83,87000,88300,85900,101235,8782151250,1959580349600,22812344
1618,2025/06/11,87500,200,0.23,87200,88400,86600,51859,4521284150,1996080100000,22812344
1618,2025/06/10,87300,-100,-0.11,88700,88900,86100,112937,9846397850,1991517631200,22812344
1618,2025/06/09,87400,2900,3.43,85000,88200,84800,117615,10248253550,1993798865600,22812344
1618,2025/06/05,84500,1000,1.2,82900,85000,82800,102961,8652651150,1927643068000,22812344
1618,2025/06/04,83500,3600,4.51,80700,84100,80500,147399,12228940900,1904830724000,22812344
1618,2025/06/02,79900,-500,-0.62,80100,80800,79500,47431,3793667350,1822706285600,22812344
1618,2025/05/30,80400,-800,-0.99,80700,81800,80400,55967,4524821350,1834112457600,22812344
1618,2025/05/29,81200,700,0.87,80900,81500,80200,62629,5066453350,1852362332800,22812344
1618,2025/05/28,80500,700,0.88,79800,80900,79800,55246,4452540750,1836393692000,22812344
1618,2025/05/27,79800,-300,-0.37,79600,80300,79300,36609,2920386450,1820425051200,22812344
1618,2025/05/26,80100,0,0.0,80100,80400,79300,52510,4181556850,1827268754400,22812344
1618,2025/05/23,80100,1000,1.26,79200,80500,78900,57906,4634046850,1827268754400,22812344
1618,2025/05/22,79100,1500,1.93,77600,80400,77400,108270,8598000600,1804456410400,22812344
1618,2025/05/21,77600,-300,-0.39,78100,78500,77500,58144,4522788400,1770237894400,22812344
1618,2025/05/20,77900,-1300,-1.64,79500,79500,77700,89912,7048295650,1777081597600,22812344
1618,2025/05/19,79200,-300,-0.38,79500,80900,79000,60700,4828417300,1806737644800,22812344
1618,2025/05/16,79500,300,0.38,79700,79800,78700,68841,5456161600,1813581348000,22812344
1618,2025/05/15,79200,-1800,-2.22,81100,81100,79200,130764,10433602450,1806737644800,22812344
1618,2025/05/14,81000,-1900,-2.29,83200,83600,80900,168141,13678695800,1847799864000,22812344
1618,2025/05/13,82900,-2600,-3.04,84700,85600,82600,92836,7725710250,1891143317600,22812344
1618,2025/05/12,85500,1300,1.54,85000,85800,84600,34014,2899252850,1950455412000,22812344
1618,2025/05/09,84200,1200,1.45,83200,85000,83000,37769,3185388900,1920799364800,22812344
1618,2025/05/08,83000,-1100,-1.31,83500,86100,83000,81614,6847242800,1893424552000,22812344
1618,2025/05/07,84100,2200,2.69,82700,84800,82500,81638,6866445350,1918518130400,22812344
1618,2025/05/02,81900,-1300,-1.56,83200,83300,81900,49850,4101795300,1868330973600,22812344
1618,2025/04/30,83200,800,0.97,82500,83300,82400,46289,3838994750,1897987020800,22812344
1618,2025/04/29,82400,-500,-0.6,83000,83000,82200,44499,3672554800,1879737145600,22812344
1618,2025/04/28,82900,400,0.48,82900,83100,82500,40107,3320135150,1891143317600,22812344
1618,2025/04/25,82500,-700,-0.84,83700,83800,82500,55975,4644130450,1882018380000,22812344
1618,2025/04/24,83200,-1300,-1.54,84800,84900,82900,46814,3901764000,1897987020800,22812344
1618,2025/04/23,84500,1100,1.32,84300,85500,84100,61834,5244900950,1927643068000,22812344
1618,2025/04/22,83400,-1600,-1.88,84900,85400,82700,69178,5792974450,1902549489600,22812344
1618,2025/04/21,85000,1500,1.8,83900,85700,83000,44815,3773655200,1939049240000,22812344
1618,2025/04/18,83500,1600,1.95,82100,84100,81300,45415,3759535650,1904830724000,22812344
1618,2025/04/17,81900,100,0.12,82400,82500,81200,42019,3437843700,1868330973600,22812344
1618,2025/04/16,81800,-800,-0.97,83400,83500,81600,39146,3220826350,1866049739200,22812344
1618,2025/04/15,82600,500,0.61,82200,83300,81700,43652,3609808800,1884299614400,22812344
1618,2025/04/14,82100,-600,-0.73,82700,83000,81600,65190,5347538150,1872893442400,22812344
1618,2025/04/11,82700,500,0.61,81400,84000,81400,73356,6073213550,1886580848800,22812344
1618,2025/04/10,82200,900,1.11,82300,83600,81400,80871,6666954700,1875174676800,22812344
1618,2025/04/09,81300,1300,1.63,79800,81800,79600,45268,3673203250,1854643567200,22812344
1618,2025/04/08,80000,-5700,-6.65,85900,86500,79800,102484,8380768900,1824987520000,22812344
1618,2025/04/07,85700,-3700,-4.14,86600,87200,84600,52379,4500764650,1955017880800,22812344
1618,2025/04/04,89400,6500,7.84,83400,89700,82600,98545,8605384200,2039423553600,22812344
1618,2025/04/03,82900,-2000,-2.36,84200,84200,81800,45291,3754441100,1891143317600,22812344
1618,2025/04/02,84900,-900,-1.05,85900,86200,84600,31267,2667901450,1936768005600,22812344
1618,2025/04/01,85800,-500,-0.58,86300,86600,85000,32716,2811358250,1957299115200,22812344
1618,2025/03/31,86300,700,0.82,84900,86300,83700,56072,4783305200,1968705287200,22812344
1618,2025/03/28,85600,300,0.35,85300,85600,83700,41332,3498198300,1952736646400,22812344
1618,2025/03/27,85300,-1000,-1.16,85700,86300,85100,40332,3453292400,1945892943200,22812344
1618,2025/03/26,86300,-200,-0.23,86700,87300,85500,30449,2636247450,1968705287200,22812344
1618,2025/03/25,86500,-1200,-1.37,87100,87700,85200,69957,6019240250,1973267756000,22812344
1618,2025/03/24,87700,300,0.34,87400,89000,87100,38986,3417987700,2000642568800,22812344
1618,2025/03/21,87400,-400,-0.46,87800,89400,85800,113193,9891496350,1993798865600,22812344
1618,2025/03/20,87800,-1100,-1.24,89200,89900,87550,57359,5062843900,2002923803200,22812344
1618,2025/03/19,88900,300,0.34,87900,90300,87600,42373,3782613250,2028017381600,22812344
1618,2025/03/18,88600,-900,-1.01,90400,91300,88200,57112,5087679650,2021173678400,22812344
1618,2025/03/17,89500,-900,-1.0,90700,91500,88800,54341,4864197350,2041704788000,22812344
1618,2025/03/14,90400,100,0.11,89900,92300,89900,41134,3731339700,2062235897600,22812344
1618,2025/03/13,90300,-2500,-2.69,92800,93500,90300,81010,7381806550,2059954663200,22812344
1618,2025/03/12,92800,-1300,-1.38,93600,94500,92600,35929,3353203800,2116985523200,22812344
1618,2025/03/11,94100,-2700,-2.79,94800,94800,93300,84575,7958176650,2146641570400,22812344
1618,2025/03/10,96800,1900,2.0,94400,98200,94400,69807,6771999400,2208234899200,22812344
1618,2025/03/07,94900,-1300,-1.35,96200,96500,94800,40792,3902100900,2164891445600,22812344
1618,2025/03/06,96200,3000,3.22,94800,96400,92700,81628,7787926500,2194547492800,22812344
1618,2025/03/05,93200,3500,3.9,91100,94000,89400,103675,9575543600,2126110460800,22812344
1618,2025/03/04,89700,-3900,-4.17,93600,93600,89500,68318,6177273900,2046267256800,22812344
1618,2025/02/28,93600,-2100,-2.19,95600,95600,92300,75436,7026242500,2135235398400,22812344
1618,2025/02/27,95700,-800,-0.83,95600,97100,94800,62978,6022434400,2183141320800,22812344
1618,2025/02/26,96500,-100,-0.1,98200,98200,95400,59701,5755239000,2201391196000,22812344
1618,2025/02/25,96600,400,0.42,95500,97500,94200,79827,7696542200,2203672430400,22812344
1618,2025/02/24,96200,-900,-0.93,95600,97700,95400,53956,5179501000,2194547492800,22812344
1618,2025/02/21,97100,-400,-0.41,97500,97700,95000,58345,5609152000,2215078602400,22812344
1618,2025/02/20,97500,2100,2.2,94200,97500,93800,92617,8928389600,2224203540000,22812344
1618,2025/02/19,95400,-700,-0.73,94700,98500,94700,84446,8125414200,2176297617600,22812344
1618,2025/02/18,96100,-100,-0.1,95600,96700,94700,62685,6027289900,2192266258400,22812344
1618,2025/02/17,96200,900,0.94,96100,97000,94400,73116,7012201600,2194547492800,22812344
1618,2025/02/14,95300,100,0.11,94500,95900,93800,105149,9968443300,2174016383200,22812344
1618,2025/02/13,95200,900,0.95,93700,96400,92700,138884,13209118800,2171735148800,22812344
1618,2025/02/12,94300,5400,6.07,90400,94800,88800,286213,26649530600,2151204039200,22812344
1618,2025/02/11,88900,4800,5.71,84100,89300,83400,203915,17946670100,2028017381600,22812344
1618,2025/02/10,84100,2300,2.81,81900,86000,81900,117158,9860059700,1918518130400,22812344
1618,2025/02/07,81800,600,0.74,81200,82300,80000,54057,4418940500,1866049739200,22812344
1618,2025/02/06,81200,900,1.12,81200,81800,80500,48371,3931523700,1852362332800,22812344
1618,2025/02/05,80300,500,0.63,80600,81400,80100,32525,2623393300,1831831223200,22812344
1618,2025/02/04,79800,1300,1.66,79000,81500,78800,75040,6038466000,1820425051200,22812344
1618,2025/02/03,78500,-1300,-1.63,79300,79600,77500,80213,6261709500,1790769004000,22812344
1618,2025/01/31,79800,300,0.38,80200,81600,79300,72513,5834972400,1820425051200,22812344
1618,2025/01/24,79500,-800,-1.0,81000,81000,79500,54721,4375921400,1813581348000,22812344
1618,2025/01/23,80300,-900,-1.11,81500,81500,80300,55999,4514431200,1831831223200,22812344
1618,2025/01/22,81200,800,1.0,80700,81400,80200,40206,3250758000,1852362332800,22812344
1618,2025/01/21,80400,200,0.25,80700,80800,79500,60702,4867064300,1834112457600,22812344
1618,2025/01/20,80200,-400,-0.5,81100,81100,79400,62941,5040559000,1829549988800,22812344
1618,2025/01/17,80600,-300,-0.37,80600,81700,80300,60543,4894281800,1838674926400,22812344
1618,2025/01/16,80900,-700,-0.86,82300,82300,80200,125545,10136977900,1845518629600,22812344
1618,2025/01/15,81600,-200,-0.24,82000,83300,81200,54682,4484216200,1861487270400,22812344
1618,2025/01/14,81800,-2500,-2.97,84700,84700,81500,80181,6597285200,1866049739200,22812344
1618,2025/01/13,84300,-500,-0.59,84700,85200,83200,42444,3564494200,1923080599200,22812344
1618,2025/01/10,84800,-700,-0.82,85500,86900,84800,49717,4237466000,1934486771200,22812344
1618,2025/01/09,85500,-600,-0.7,85800,87300,85500,73607,6335027100,1950455412000,22812344
1618,2025/01/08,86100,400,0.47,85200,87000,84700,59463,5118049600,1964142818400,22812344
1618,2025/01/07,85700,-1300,-1.49,89000,89000,85600,79305,6864059300,1955017880800,22812344
1618,2025/01/06,87000,1900,2.23,86300,88300,84800,76586,6653879300,1984673928000,22812344
1618,2025/01/03,85100,1000,1.19,83700,87400,83500,52667,4521856500,1941330474400,22812344
1618,2025/01/02,84100,-300,-0.36,84600,85900,81300,77119,6421798500,1918518130400,22812344
1618,2024/12/30,84400,-1300,-1.52,84900,85600,82800,93648,7877420100,1925361833600,22812344
1618,2024/12/27,85700,4500,5.54,86500,91000,85200,435740,38164248800,1955017880800,22812344
1618,2024/12/26,81200,-1000,-1.22,83000,83200,81000,34883,2847032500,1852362332800,22812344
1618,2024/12/24,82200,-300,-0.36,82700,83400,81800,30324,2502542300,1875174676800,22812344
1618,2024/12/23,82500,1600,1.98,81600,82800,80400,38073,3118603200,1882018380000,22812344
1618,2024/12/20,80900,-700,-0.86,81600,82200,80200,48838,3955109900,1845518629600,22812344
1618,2024/12/19,81600,-2600,-3.09,83200,83400,81500,49319,4055587200,1861487270400,22812344
1618,2024/12/18,84200,1600,1.94,83300,84600,82700,35583,2989545500,1920799364800,22812344
1618,2024/12/17,82600,-1400,-1.67,84000,84300,82600,43784,3640943200,1884299614400,22812344
1618,2024/12/16,84000,-1700,-1.98,85700,86200,83500,38349,3232331800,1916236896000,22812344
1618,2024/12/13,85700,2000,2.39,83700,86300,83400,65244,5585998300,1955017880800,22812344
1618,2024/12/12,83700,700,0.84,83200,85700,82800,81364,6854486700,1909393192800,22812344
1618,2024/12/11,83000,900,1.1,81500,83700,81100,41849,3469238600,1893424552000,22812344
1618,2024/12/10,82100,2900,3.66,79500,82600,79500,50514,4114589900,1872893442400,22812344
1618,2024/12/09,79200,-1900,-2.34,80500,80600,78100,44266,3494488700,1806737644800,22812344
1618,2024/12/06,81100,-400,-0.49,80700,82100,79600,38827,3136900400,1850081098400,22812344
1618,2024/12/05,81500,-1500,-1.81,82400,82600,80700,30893,2521159200,1859206036000,22812344
1618,2024/12/04,83000,-1400,-1.66,83800,84400,82200,36911,3072594700,1893424552000,22812344
1618,2024/12/03,84400,2400,2.93,83000,85100,82100,55276,4662592100,1925361833600,22812344
1618,2024/12/02,82000,100,0.12,82700,83500,81800,41669,3439014400,1870612208000,22812344
1618,2024/11/29,81900,-1000,-1.21,83000,83200,81600,34329,2821931800,1868330973600,22812344
1618,2024/11/28,82900,2100,2.6,81400,84400,80400,71800,5982348300,1891143317600,22812344
1618,2024/11/27,80800,-600,-0.74,81500,82400,80400,47011,3820886900,1843237395200,22812344
1618,2024/11/26,81400,1400,1.75,79500,81500,78800,54833,4415126400,1856924801600,22812344
1618,2024/11/25,80000,600,0.76,80200,80800,79400,44999,3607560900,1824987520000,22812344
1618,2024/11/22,79400,200,0.25,79300,80300,78900,34189,2715805600,1811300113600,22812344
1618,2024/11/21,79200,-2100,-2.58,81600,81600,79200,44463,3550900300,1806737644800,22812344
1618,2024/11/20,81300,1700,2.14,79700,81800,79100,48211,3902936100,1854643567200,22812344
1618,2024/11/19,79600,700,0.89,79000,79800,78000,31015,2455580500,1815862582400,22812344
1618,2024/11/18,78900,1000,1.28,77300,79700,77300,48141,3792915500,1799893941600,22812344
1618,2024/11/15,77900,-1000,-1.27,78900,79300,76800,310316,23130526530,1777081597600,22812344
1618,2024/11/14,78900,-700,-0.88,79600,80500,78300,55067,4352757300,1799893941600,22812344
1618,2024/11/13,79600,-600,-0.75,78300,80600,78300,47375,3772720500,1815862582400,22812344
1618,2024/11/12,80200,-2900,-3.49,82500,83100,80200,83160,6730512500,1829549988800,22812344
1618,2024/11/11,83100,-5200,-5.89,86800,87400,82700,122353,10234408100,1895705786400,22812344
1618,2024/11/08,88300,2100,2.44,87000,90600,86400,83856,7411375000,2014329975200,22812344
1618,2024/11/07,86200,-2700,-3.04,88100,88500,86100,69878,6068061300,1966424052800,22812344
1618,2024/11/06,88900,300,0.34,88700,89400,87700,51365,4545392000,2028017381600,22812344
1618,2024/11/05,88600,-400,-0.45,88200,90600,88200,51628,4625042100,2021173678400,22812344
1618,2024/11/04,89000,600,0.68,88100,89400,87800,39487,3505346800,2030298616000,22812344
1618,2024/11/01,88400,600,0.68,87100,90000,86200,61976,5510601200,2016611209600,22812344
1618,2024/10/31,87800,500,0.57,87200,88200,85400,71793,6274050900,2002923803200,22812344
1618,2024/10/30,87300,-3200,-3.54,89900,90000,86400,93158,8135409900,1991517631200,22812344
1618,2024/10/29,90500,1300,1.46,89200,90500,87800,39903,3549640200,2064517132000,22812344
1618,2024/10/28,89200,500,0.56,88700,89900,88300,29943,2665813400,2034861084800,22812344
1618,2024/10/25,88700,-1800,-1.99,90600,90600,88300,82686,7369961400,2023454912800,22812344
1618,2024/10/24,90500,1300,1.46,89600,90500,87700,59926,5338959700,2064517132000,22812344
1618,2024/10/23,89200,2100,2.41,86400,90300,86400,102370,9132521600,2034861084800,22812344
1618,2024/10/22,87100,-1200,-1.36,88300,88300,84200,127463,10912794900,1986955162400,22812344
1618,2024/10/21,88300,-1000,-1.12,89500,89500,87700,64787,5717480000,2014329975200,22812344
1618,2024/10/18,89300,1200,1.36,88300,89300,87900,53969,4786187600,2037142319200,22812344
1618,2024/10/17,88100,-700,-0.79,89100,89300,87600,59951,5280672400,2009767506400,22812344
1618,2024/10/16,88800,-200,-0.22,88500,89100,86700,96762,8507097900,2025736147200,22812344
1618,2024/10/15,89000,-1200,-1.33,90200,90400,87900,86115,7647023400,2030298616000,22812344
1618,2024/10/14,90200,700,0.78,89500,90400,89100,41381,3715696500,2057673428800,22812344
1618,2024/10/11,89500,-1000,-1.1,91000,91300,89200,45708,4103441100,2041704788000,22812344
1618,2024/10/10,90500,700,0.78,90700,91000,89100,107033,9645591100,2064517132000,22812344
1618,2024/10/08,89800,-2200,-2.39,92000,92200,89500,102652,9250889600,2048548491200,22812344
1618,2024/10/07,92000,-700,-0.76,93200,93200,91700,40658,3741833700,2098735648000,22812344
1618,2024/10/04,92700,-200,-0.22,92300,93600,91300,44562,4124359200,2114704288800,22812344
1618,2024/10/02,92900,-200,-0.21,92000,93600,90600,63640,5876021800,2119266757600,22812344
1618,2024/09/30,93100,-4500,-4.61,98500,98800,93100,106076,10055530600,2123829226400,22812344
1618,2024/09/27,97600,400,0.41,97900,99000,96500,54008,5292559500,2226484774400,22812344
1618,2024/09/26,97200,100,0.1,97900,97900,96100,59291,5747211500,2217359836800,22812344
1618,2024/09/25,97100,-1200,-1.22,99100,100000,97100,58256,5727647800,2215078602400,22812344
1618,2024/09/24,98300,-100,-0.1,98900,99300,97700,39208,3855319800,2242453415200,22812344
1618,2024/09/23,98400,1700,1.76,97500,99300,96400,71386,7018533600,2244734649600,22812344
1618,2024/09/20,96700,-3000,-3.01,100200,100600,96700,113030,11077931400,2205953664800,22812344
1618,2024/09/19,99700,-1700,-1.68,102200,102300,98500,59675,5943398400,2274390696800,22812344
1618,2024/09/13,101400,-300,-0.29,102000,102000,100100,41872,4234624200,2313171681600,22812344
1618,2024/09/12,101700,-2300,-2.21,104400,105100,99700,158310,16040966600,2320015384800,22812344
1618,2024/09/11,104000,5500,5.58,99900,105400,99700,184153,19097810600,2372483776000,22812344
1618,2024/09/10,98500,-3000,-2.96,101100,103700,98400,112656,11371494700,2247015884000,22812344
1618,2024/09/09,101500,700,0.69,99800,102000,97800,101881,10224282400,2315452916000,22812344
1618,2024/09/06,100800,3400,3.49,97400,102500,97100,229007,23041874400,2299484275200,22812344
1618,2024/09/05,97400,5300,5.75,93000,98300,92200,122622,11805828600,2221922305600,22812344
1618,2024/09/04,92100,-4400,-4.56,95000,95000,91600,90424,8376347900,2101016882400,22812344
1618,2024/09/03,96500,2400,2.55,93800,96900,93800,56391,5422688800,2201391196000,22812344
1618,2024/09/02,94100,-200,-0.21,95100,95700,93600,48478,4571654086,2146641570400,22812344
1618,2024/08/30,94300,900,0.96,94300,96000,93600,84169,7992158300,2151204039200,22812344
1618,2024/08/29,93400,-2500,-2.61,95000,95300,93300,71651,6732777900,2130672929600,22812344
1618,2024/08/28,95900,-1500,-1.54,97400,97400,94200,69260,6605634500,2187703789600,22812344
1618,2024/08/27,97400,1000,1.04,96600,97800,93700,100473,9661853600,2221922305600,22812344
1618,2024/08/26,96400,2600,2.77,94000,97000,93500,76500,7309991800,2199109961600,22812344
1618,2024/08/23,93800,2000,2.18,92300,94100,92100,55912,5210859800,2139797867200,22812344
1618,2024/08/22,91800,-1700,-1.82,93500,94200,91400,77812,7171202600,2094173179200,22812344
1618,2024/08/21,93500,-300,-0.32,94200,96200,93500,69450,6553595200,2132954164000,22812344
1618,2024/08/20,93800,-800,-0.85,94700,95200,93400,76247,7173674100,2139797867200,22812344
1618,2024/08/19,94600,700,0.75,94300,95100,92800,65741,6178066600,2158047742400,22812344
1618,2024/08/16,93900,-2100,-2.19,96900,96900,93900,97479,9255384200,2142079101600,22812344
1618,2024/08/14,96000,2000,2.13,95000,96000,93200,94050,8912942500,2189985024000,22812344
1618,2024/08/13,94000,-6300,-6.28,100300,101100,94000,143072,13736791400,2144360336000,22812344
1618,2024/08/12,100300,1700,1.72,100000,101500,99500,81752,8219238000,2288078103200,22812344
1618,2024/08/09,98600,-600,-0.6,100200,101600,98500,78408,7847417100,2249297118400,22812344
1618,2024/08/08,99200,1300,1.33,98000,101000,97400,130553,12929033900,2262984524800,22812344
1618,2024/08/07,97900,1200,1.24,96100,100300,95800,73964,7307085200,2233328477600,22812344
1618,2024/08/06,96700,3400,3.64,94200,99400,94200,73926,7185001400,2205953664800,22812344
1618,2024/08/05,93300,-6400,-6.42,99700,100000,91000,102931,9739093900,2128391695200,22812344
1618,2024/08/02,99700,900,0.91,97700,101800,96700,156302,15651839800,2274390696800,22812344
1618,2024/08/01,98800,300,0.3,98500,100500,97600,100389,10004718000,2253859587200,22812344
1618,2024/07/31,98500,1200,1.23,97300,100500,96600,133032,13234301300,2247015884000,22812344
1618,2024/07/30,97300,1800,1.88,95200,99300,94700,130288,12779916800,2219641071200,22812344
1618,2024/07/29,95500,1300,1.38,94200,96900,94000,44652,4287112500,2178578852000,22812344
1618,2024/07/26,94200,-300,-0.32,94600,95100,93300,47625,4482569900,2148922804800,22812344
1618,2024/07/25,94500,-1500,-1.56,95900,97400,94100,87113,8336663800,2155766508000,22812344
1618,2024/07/24,96000,2900,3.11,92300,97000,91600,138210,13239836500,2189985024000,22812344
1618,2024/07/23,93100,1900,2.08,91200,95300,90900,108741,10191475700,2123829226400,22812344
1618,2024/07/22,91200,-2000,-2.15,93200,93200,90900,48072,4403189400,2080485772800,22812344
1618,2024/07/19,93200,2500,2.76,91300,93500,89800,94759,8702034400,2126110460800,22812344
1618,2024/07/18,90700,400,0.44,90400,91200,89100,63235,5723768300,2069079600800,22812344
1618,2024/07/17,90300,-1300,-1.42,91800,92500,89700,104786,9548718300,2059954663200,22812344
1618,2024/07/16,91600,1000,1.1,91100,93300,90700,68660,6316902700,2089610710400,22812344
1618,2024/07/15,90600,-1600,-1.74,93000,93700,90300,72220,6599669500,2066798366400,22812344
1618,2024/07/12,92200,300,0.33,92300,92900,91600,29244,2691807700,2103298116800,22812344
1618,2024/07/11,91900,0,0.0,92200,94400,91800,113223,10486056600,2096454413600,22812344
1618,2024/07/10,91900,-1300,-1.39,93700,93800,91800,45050,4150209900,2096454413600,22812344
1618,2024/07/09,93200,600,0.65,93000,93800,92300,46913,4373023900,2126110460800,22812344
1618,2024/07/08,92600,-800,-0.86,92800,93300,91800,31739,2931743900,2112423054400,22812344
1618,2024/07/05,93400,-1300,-1.37,95000,95600,92100,57148,5364324400,2130672929600,22812344
1618,2024/07/04,94700,400,0.42,95500,95600,93600,43644,4114818800,2160328976800,22812344
1618,2024/07/03,94300,1600,1.73,93200,95300,92100,77262,7266240100,2151204039200,22812344
1618,2024/07/02,92700,-2600,-2.73,94800,94800,92200,91403,8483765800,2114704288800,22812344
1618,2024/07/01,95300,200,0.21,94500,95900,94100,39208,3731723100,2174016383200,22812344
1618,2024/06/28,95100,900,0.96,94300,96000,94300,65917,6279684100,2169453914400,22812344
1618,2024/06/27,94200,-1800,-1.88,95100,96000,93600,62754,5934348900,2148922804800,22812344
1618,2024/06/26,96000,-1200,-1.23,97200,97300,94900,79214,7557358300,2189985024000,22812344
1618,2024/06/25,97200,2000,2.1,95800,97300,95500,65363,6303754200,2217359836800,22812344
1618,2024/06/24,95200,-2400,-2.46,97100,97600,94800,86404,8252819200,2171735148800,22812344
1618,2024/06/21,97600,-500,-0.51,97900,98400,97000,55514,5404047100,2226484774400,22812344
1618,2024/06/20,98100,-800,-0.81,98700,99700,97500,41041,4035289800,2237890946400,22812344
1618,2024/06/19,98900,300,0.3,99000,99000,96700,65710,6432497000,2256140821600,22812344
1618,2024/06/18,98600,-800,-0.8,100100,100100,97700,68141,6694466900,2249297118400,22812344
1618,2024/06/17,99400,100,0.1,100000,101300,98800,63084,6280951100,2267546993600,22812344
1618,2024/06/14,99300,-200,-0.2,100400,103500,99300,103769,10477957200,2265265759200,22812344
1618,2024/06/13,99500,2100,2.16,98000,102700,98000,160592,16118589300,2269828228000,22812344
1618,2024/06/12,97400,-3300,-3.28,100900,101100,96800,132849,13083047100,2221922305600,22812344
1618,2024/06/11,100700,-400,-0.4,101100,101500,99900,46909,4712658800,2297203040800,22812344
1618,2024/06/10,101100,-2000,-1.94,102100,102200,99800,39699,4006775600,2306327978400,22812344
1618,2024/06/07,103100,1300,1.28,103200,104400,102000,44026,4526341500,2351952666400,22812344
1618,2024/06/05,101800,0,0.0,102800,103400,100400,55357,5617043700,2322296619200,22812344
1618,2024/06/04,101800,-1900,-1.83,102700,103300,101800,42592,4358844000,2322296619200,22812344
1618,2024/06/03,103700,0,0.0,104900,105100,102000,87465,9022882900,2365640072800,22812344
1618,2024/05/31,103700,500,0.48,104800,106200,103100,96423,10032422300,2365640072800,22812344
1618,2024/05/30,103200,-1400,-1.34,103700,104600,101900,72870,7501766600,2354233900800,22812344
1618,2024/05/29,104600,-600,-0.57,104200,105700,101900,124051,12876582700,2386171182400,22812344
1618,2024/05/28,105200,-4600,-4.19,109600,110000,104400,201408,21353353800,2399858588800,22812344
1618,2024/05/27,109800,-100,-0.09,110100,111700,109600,37122,4097047700,2504795371200,22812344
1618,2024/05/24,109900,-600,-0.54,110500,110900,108900,56348,6201334500,2507076605600,22812344
1618,2024/05/23,110500,600,0.55,109600,112200,109500,49989,5550501300,2520764012000,22812344
1618,2024/05/22,109900,-1500,-1.35,111400,111800,109300,90875,10028834400,2507076605600,22812344
1618,2024/05/21,111400,-1500,-1.33,112900,113200,110700,98299,10959006500,2541295121600,22812344
1618,2024/05/20,112900,-100,-0.09,115000,117600,112600,72180,8260697100,2575513637600,22812344
1618,2024/05/17,113000,-1600,-1.4,111700,114000,111700,82545,9311280700,2577794872000,22812344
1618,2024/05/16,114600,600,0.53,114600,115500,113300,74760,8559808200,2614294622400,22812344
1618,2024/05/14,114000,-3800,-3.23,117700,118300,111400,240499,27458040200,2600607216000,22812344
1618,2024/05/13,117800,-1600,-1.34,119400,121600,115500,148956,17572500100,2687294123200,22812344
1618,2024/05/10,119400,-3500,-2.85,124200,126700,119000,126970,15376570100,2723793873600,22812344
1618,2024/05/09,122900,-7000,-5.39,130000,131000,121700,136675,17073939100,2803637077600,22812344
1618,2024/05/08,129900,9100,7.53,121600,129900,120000,139408,17635140000,2963323485600,22812344
